parameter_set,period_start,period_end,total_return,max_drawdown,sharpe_ratio,win_rate,total_trades,profit_factor,avg_hold_time_hours,final_capital,signals_generated,signals_executed,execution_time_seconds
"{'name': 'Config_3', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,26.730183601379395
"{'name': 'Config_3', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,25.490803480148315
"{'name': 'Config_3', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,24.975648880004883
"{'name': 'Config_3', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,27.37632179260254
"{'name': 'Config_4', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.131698608398438
"{'name': 'Config_4', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.863747596740723
"{'name': 'Config_4', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,26.818713903427124
"{'name': 'Config_4', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,24.700892686843872
"{'name': 'Config_4', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,26.936221837997437
"{'name': 'Config_5', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.298182487487793
"{'name': 'Config_5', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.892696619033813
"{'name': 'Config_5', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,25.97388505935669
"{'name': 'Config_5', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,25.070208072662354
"{'name': 'Config_5', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,27.451668739318848
"{'name': 'Config_6', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,29.210062742233276
"{'name': 'Config_6', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.300344944000244
"{'name': 'Config_6', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,26.313538551330566
"{'name': 'Config_6', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,25.762564659118652
"{'name': 'Config_6', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.4, 'fa_weight': 0.6, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,26.212544918060303
"{'name': 'Config_7', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.918372869491577
"{'name': 'Config_7', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.662346124649048
"{'name': 'Config_7', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,26.186978578567505
"{'name': 'Config_7', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,25.522037744522095
"{'name': 'Config_7', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,26.563847303390503
"{'name': 'Config_8', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.833279371261597
"{'name': 'Config_8', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.009052753448486
"{'name': 'Config_8', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,26.732397079467773
"{'name': 'Config_8', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,25.8239483833313
"{'name': 'Config_8', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,25.810853242874146
"{'name': 'Config_9', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.615152597427368
"{'name': 'Config_9', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,26.256860733032227
"{'name': 'Config_9', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,25.692090272903442
"{'name': 'Config_9', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,24.858808279037476
"{'name': 'Config_9', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.2, 'ta_weight': 0.5, 'fa_weight': 0.5, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,25.622722387313843
"{'name': 'Config_10', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.748055696487427
"{'name': 'Config_10', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.11097025871277
"{'name': 'Config_10', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,25.208567142486572
"{'name': 'Config_10', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,26.116719722747803
"{'name': 'Config_10', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.0, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,25.77074122428894
"{'name': 'Config_11', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,27.201058864593506
"{'name': 'Config_11', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,24.888386726379395
"{'name': 'Config_11', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,26.182629346847534
"{'name': 'Config_11', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-04-05T00:00:00+00:00,2025-05-05T00:00:00+00:00,-0.04175299562276,0.08115279397308778,0.0,0.5,12,0.4766211586466726,278.0,95824.7004377240,21,12,24.255471229553223
"{'name': 'Config_11', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.2, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-02-28T00:00:00+00:00,2025-03-30T00:00:00+00:00,-0.05938805943566,0.05928703223566001,0.0,0.0,6,0.0,120.0,94061.1940564340,10,6,24.99456000328064
"{'name': 'Config_12', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-07-22T00:00:00+00:00,2025-08-21T00:00:00+00:00,-0.01013603276184,0.04561475806460348,0.0,0.375,8,0.8046590323103306,405.0,98986.3967238160,27,8,28.499903202056885
"{'name': 'Config_12', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-06-16T00:00:00+00:00,2025-07-16T00:00:00+00:00,0.016823467172215,0.0359674873345667,0.0,0.6666666666666666,6,2.3537108614397497,468.0,101682.3467172215,30,6,25.651413440704346
"{'name': 'Config_12', 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06, 'min_confidence': 55.0, 'max_position_size': 0.25, 'ta_weight': 0.3, 'fa_weight': 0.7, 'volume_threshold': 1.5, 'min_technical_score': 45.0, 'min_fundamental_score': 35.0}",2025-05-11T00:00:00+00:00,2025-06-10T00:00:00+00:00,0.00081296224535,0.04465040868990848,0.0,0.5714285714285714,7,1.0698291632009476,462.85714285714283,100081.296224535,31,7,26.40182375907898
