param_name,stop_loss_pct,take_profit_pct,min_confidence,max_position_size,ta_weight,fa_weight,volume_threshold,min_technical_score,min_fundamental_score,avg_return,std_return,avg_max_drawdown,avg_sharpe_ratio,avg_win_rate,total_trades,avg_profit_factor,consistency_score,risk_adjusted_score,periods_tested,periods_profitable
Config_26,0.03,0.06,55.0,0.3,0.5,0.5,1.2,45.0,35.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_27,0.03,0.06,55.0,0.3,0.5,0.5,1.5,45.0,35.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_28,0.03,0.06,60.0,0.2,0.3,0.7,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_29,0.03,0.06,60.0,0.2,0.3,0.7,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_30,0.03,0.06,60.0,0.2,0.3,0.7,1.5,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_31,0.03,0.06,60.0,0.2,0.4,0.6,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_32,0.03,0.06,60.0,0.2,0.4,0.6,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_33,0.03,0.06,60.0,0.2,0.4,0.6,1.5,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_34,0.03,0.06,60.0,0.2,0.5,0.5,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_35,0.03,0.06,60.0,0.2,0.5,0.5,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_36,0.03,0.06,60.0,0.2,0.5,0.5,1.5,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_37,0.03,0.06,60.0,0.25,0.3,0.7,1.0,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_38,0.03,0.06,60.0,0.25,0.3,0.7,1.2,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
Config_39,0.03,0.06,60.0,0.25,0.3,0.7,1.5,50.0,40.0,-0.018728131680539,0.03123687236762714,0.05333449605956529,0.0,0.4226190476190476,39,0.9409640431195401,0,-0.0,5,2
